"creators_name.family","creators_name.given","title","date","related_url","pages_aacr","thesis_degree_name"
"Yu","Yang","Design and implementation of a Java SOAP toolkit ","2003","http://clues.concordia.ca/search/c?SEARCH=QA 76 M26+ 2003 no.17","vii, 46 leaves ; 29 cm.","Major reports (M.Comp.Sc.)"
"Yu","Ying","A system architecture and implementation for meshed multicast in MANET using SIP ","2004","http://clues.concordia.ca/search/c?SEARCH=TK 5103.2 Y8 2004","xi, 116 leaves : ill. ; 29 cm.","M.A. Sc."
"Yu","Wei","Refactoring use case models on episodes ","2004","http://clues.concordia.ca/search/c?SEARCH=QA 76.76 R42Y8 2004","x, 86 leaves : ill ; 29 cm.","M. Comp. Sc."
"Yu","Hang","Free form sketching system for product design using virtual reality technology ","2005","http://clues.concordia.ca/search/c?SEARCH=TA 345 Y8 2005","xiii, 77 leaves : ill. ; 29 cm.","M.A. Sc."
"YU","Yong Jun","Congestion control in networked systems ","2005","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66E44M 2005 Y8 ","x, 123 leaves : ill. ; 29 cm.","M.A. Sc."
"Yu","Ying","The use of the big encryption system (BES) for the cryptanalysis of the advanced encryption system (AES) ","2005","http://clues.concordia.ca/search/c?SEARCH=QA 76.76 O63Y8 2005","ix, 113 leaves : ill. ; 29 cm.","M. Comp. Sc."
"Yu","Bo","Negotiations or auctions : experimental comparison of two e-market mechanisms","2007","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66D43M 2007 Y8","xiii, 120 leaves : ill. ; 29 cm.","Theses (M. Sc. Admin.)"
"Yu","Kun Nam James","Three essays in estimating intertemporal substitution elasticities of home production ","2008","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66E26P 2008 Y8","x, 88 leaves  ; 29 cm.","Ph. D."
"Yuan","Xidong","Computer vision techniques for traffic data collection and analysis ","1994","http://clues.concordia.ca/search/c?SEARCH=TA 1230 Y8 1994","xiv, 186 leaves : ill. ; 29 cm.","Theses (Ph.D.)"
"Yuan","Jing","Development of an extended environmental multimedia modeling system (EEMMS) ","2009","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66B85P 2010 Y83","xxvii, 281 leaves : ill. (some col.) ; 29 cm.","Ph. D."
"Yuan","Chen","ACO-based routing algorithms for wireless mesh networks ","2009","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66E44M 2010 Y93","x, 82 leaves : ill. ; 29 cm.","M.A.Sc."
"Yucui","Bai","A multiobjective mixed integer programming application on the design of a material supply system ","2004","http://clues.concordia.ca/search/c?SEARCH=T 57.7 Y83 2004","viii, 108 leaves : ill., maps ; 29 cm.","M.A. Sc."
"Yue","Wei","Modelling and piecewise-affine control of an aerobatic helicopter ","2005","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66M43M 2005 Y94","xiii, 100 leaves : ill. ; 29 cm.","M.A. Sc."
"Yue","Hong","The John-Nirenberg inequality for Qa (Rn) and related problems ","2007","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66M38P 2007 Y84","vii, 66 leaves : ill. ; 29 cm.","Ph. D."
"Yulek","Mustafa","Dynamic compaction of a thin subgrade layer overlying weak deposit ","2006","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66B85M 2006 Y85","xvii, 94 leaves : ill. (some col.) ; 29 cm.","M.A. Sc."
"Yuryev","Yury","Application of atomic force microscopy for the study of crystallization kinetics and morphology of L- and D- polylactide blends in solution cast thin films ","2006","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66M43M 2006 Y87","xix, 124 leaves : ill. ; 29 cm.","M.A. Sc."
"Zabihollah","Abolghassem","Vibration and buckling analyses of tapered composite beams using conventional and advanced finite element formulations ","2003","http://clues.concordia.ca/search/c?SEARCH=TA 664 Z33 2003","xxvi, 234 leaves : ill. ; 29 cm.","Theses (M.A.Sc.)"
"Zabihollah","Abolghassem","Analysis, design optimization and vibration suppression of smart laminated beams ","2007","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66M43P 2007 Z33","xix, 222 leaves : ill. ; 29 cm.","Ph. D."
"Zachariah","John","Above all, shut up : a study of Lyotard's ethical genre ","1997","http://clues.concordia.ca/search/c?SEARCH=B 2430 L964Z33 1997","v, 133 leaves ; 29 cm.","Theses (M.A.)"
"Zadeh","Seyed Ali Gorji","An adaptive M-algorithm based convolutional decoder ","2005","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66E44M 2005 Z33","xiv, 94 leaves : ill. ; 29 cm.","M.A. Sc."
"Zadeh","Robert","EMI investigation and suppression filter design for wireless robotic control application ","2010","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66E44M 2010 Z33","xiii, 85 leaves : ill. ; 29 cm.","M.A. Sc."
"Zaghtiti","Dima","Adsorption of phosphorus on sediments from Lake Caron and Huron river ","2009","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66B85M 2009 Z33","xiii, 139 leaves : ill. ; 29 cm.","M.A. Sc."
"Zahirazami","Shauheen","Switching control using generalized sampled-data hold functions ","2005","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66E44M 2005 Z34","xi, 124 leaves : ill. ; 29 cm.","M.A. Sc."
"Zahnan","Lena","Computer-aided design-based project management model ","2001","http://clues.concordia.ca/search/c?SEARCH=TH 438 Z34 2001","viii, 170 leaves, 3 folded leaves of plates : ill. ; 29 cm.","Theses (M.A.Sc.)"
"Zaid Ahmed","Mohammed Ridha","Simultaneous removal of benzene and copper from water and wastewater using micellar-enhanced ultrafiltration ","2010","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66B85M 2010 Z35","xvi, 97 leaves : ill. ; 29 cm.","M.A. Sc."
"Zaidi","Asif Nadeem","A neural network approach for generating derivative information from quantized position measurements ","1995","http://clues.concordia.ca/search/c?SEARCH=TJ 216 Z35 1995","x, 82 leaves : ill. ; 29 cm.","Theses (M.A.Sc.)"
"Zakikhani","Sepideh","Structural health monitoring using wireless sensors and damage detection of civil infrastructures ","2009","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66B85M 2009 Z35","xiv, 90 leaves : ill. ; 29 cm.","M.A. Sc."
"Zaman","A. K. M. Saiduz","Remediation of arsenic from groundwater containing organic compounds by ion exchange media ","2006","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66B85P 2006 Z36","xx, 320 leaves : ill. ; 29 cm.","Ph. D."
"Zamani","Bahman","On verifying the use of a pattern language in model driven design ","2009","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66C67P 2009 Z36","xvi, 227 leaves : ill. ; 29 cm.","Ph. D."
"Zamani Fekri","Mohsen","Hierarchical robust supervisory control of discrete-event systems ","2010","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66E44P 2010 Z36","xv, 190 leaves : ill. ; 29 cm.","Ph. D."
"Zamparo","Lee","Two methods to estimate protein copy number from drosophila embryo image data ","2009","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66C67M 2009 Z36","viii, 47 leaves : ill. ; 29 cm.","M. Comp. Sc."
"Zankowicz","Kate","The space that is left : exploring the monument and its ruin ","2005","http://clues.concordia.ca/search/c?SEARCH=NA 9345 Z36 2005","vii, 143 leaves : ill. ; 29 cm.","M.A."
"Zaralis","George","Profitability, concentration and trade flows in the Canadian manufacturing sector ","1988","http://clues.concordia.ca/search/c?SEARCH=HC 120 P7Z37+ 1988","xi, 177 leaves ; 29 cm.","Theses (Ph.D.)"
"Zaramian","Nancy","Handwritten digit classification using cascading neural network ensembles ","2006","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66C67M 2006 Z37","viii, 57 leaves : ill. ; 29 cm.","M. Comp. Sc."
"Zaremba-Czereyska","Krystyna Marya","Charles Dudley Gaitskell : his philosophy of art education ","1989","http://clues.concordia.ca/search/c?SEARCH=N 89.2 G25Z3+ 1989","viii, 166 leaves : port. ; 29 cm.","Theses (M.A.)"
"Zargari","Navid Reza","A novel high performance current regulated DC/AC converter for single phase and three phase systems ","1990","http://clues.concordia.ca/search/c?SEARCH=TK 2796 Z37 1990","xvii, 113 leaves : ill. ; 29 cm.","Theses (M.A.Sc.)"
"Zargari","Navid Reza","AC/DC power conversion schemes with unity power factor and minimum harmonic distortion ","1995","http://clues.concordia.ca/search/c?SEARCH=TK 2796 Z372 1995","xxvi, 180 leaves : ill. ; 29 cm.","Theses (Ph.D.)"
"Zargarpour","Sepideh","Influences of age and gender on children's differential processing of information about passive withdrawal versus active withdrawal ","1993","http://clues.concordia.ca/search/c?SEARCH=BF 723 S6Z37 1993","xii, 64 leaves ; 29 cm.","Theses (M.A.)"
"Zargarpour","Sepideh","Individual differences in children's group perceptions and peer preferences as a function of prejudice level ","2001","http://clues.concordia.ca/search/c?SEARCH=BF 723 R3Z37 2001","xvi, 183 leaves : ill. ; 29 cm.","Theses (Ph.D.)"
"Zarrabi","Houman","On the design and synthesis of differential clock distribution network ","2006","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66E44M 2006 Z37","x, 80 leaves : ill. ; 29 cm.","M.A. Sc."
"Zarrad","Anis","Design and implementation of visualization techniques for subsumption hierarchies ","2004","http://clues.concordia.ca/search/c?SEARCH=QA 76.76 C66Z37 2004","ix, 85 leaves : ill. ; 29 cm.","M. Comp. Sc."
"Zaryabi Langaroudi","Arash","Resource allocation and optimal release time in software systems ","2009","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66Q35M 2009 Z37","ix, 94 leaves : ill. ; 29 cm.","M.A. Sc"
"Zawadzki","Rafal","Application of silica based grout to pyrite bearing backfill : new approach to swelling of foundation aggregates due to pyrite oxidation ","2008","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66B85M 2008 Z39","xv, 170 leaves : ill. ; 29 cm.","M. A.Sc."
"Zawilski","Jan","Recent trends in the utilization of paid labour in Québec agriculture ","1979","http://clues.concordia.ca/search/c?SEARCH=HD 1790 Q4Z2+","229 leaves : ill., 1 map ; 28 cm.","Theses (M.A.)"
"Zbarcea","Danut","Métaphotohistoire--les allégories du regard : stratégie d'exploration artistique et d'analyse visuelle et éducationnelle ","2008","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66A33M 2008 Z32","vi, 68 leaves : ill. ; 29 cm.","M.A."
"Zbeeb","Ahmad","A new microcontroller-based MPPT algorithm for photovoltaic applications ","2009","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66E44M 2009 Z34","xviii, 84 leaves : ill. ; 29 cm.","M.A. Sc."
"Zbikowski","Kristen","Adapting to the challenges of UN peacekeeping : protection of civilians and the use of force in the Democratic Republic of the Congo ","2009","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66P65M 2010 Z32","x, 154 leaves : map ; 29 cm.","M.A."
"Zelada","Marco A","The design of PAAP : programmable asynchronous array processor ","1992","http://clues.concordia.ca/search/c?SEARCH=TK 7874.6 Z45 1992","v, 135 leaves : ill. ; 29 cm.","Theses (M.Comp.Sc.)"
"Zeleke","Elleni Centime","Confronting modernity : dialectical images of post revolutionary/post cold war in Addis Ababa ","2002","http://clues.concordia.ca/search/c?SEARCH=DT 387.95 Z45 2002","vi, 136 leaves : ill., map ; 29 cm.","Theses (M.A.)"
"Zelmer","Kyle","Perceptions of food risk and labeling ","2008","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66S63M 2008 Z45","vi, 131 leaves : ill. ; 29 cm.","M.A."
"Zeman","Vladimir","A neural network based approach to the control of flexible-joint manipulators ","1991","http://clues.concordia.ca/search/c?SEARCH=TJ 211.35 Z45 1991","xi, 121 leaves : ill. ; 29 cm.","Theses (M.Eng.)"
"Zeng","Zhao-Shu","A study of an air-conditioning control system using a variable speed compressor and a variable speed evaporator fan ","1993","http://clues.concordia.ca/search/c?SEARCH=TH 7681 Z45 1993","xii, 159 leaves : ill. ; 29 cm.","Theses (M.A.Sc.)"
"Zeng","Jian","Porting Gzilla to Windows ","2001","http://clues.concordia.ca/search/c?SEARCH=QA 76 M26+ 2001 no.26","ix, 99 leaves : ill. ; 29 cm.","Major reports (M.Comp.Sc)"
"Zeng","Xiang  Nian","Carrier frequency offset estimation for orthogonal frequency division multiplexing systems ","2008","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66E44P 2008 X53","xix, 125 leaves : ill. ; 29 cm.","Ph. D."
"Zeng","Chuan","The impact of railway station redevelopment on station areas : the case of Wuchang railway station ","2009","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66G46M 2009 Z46","xii, 132 leaves : ill. ; 29 cm.","M. Sc."
"Zernentsch","Sheri","Gay families in the media in the age of HIV and AIDS ","1998","http://clues.concordia.ca/search/c?SEARCH=P 96 A39Z47 1998","104 leaves ; 29 cm.","Theses (M.A.)"
"Zervas","Eleni","Children's block play with their parents : subject to sex differences? ","2002","http://clues.concordia.ca/search/c?SEARCH=BF 723 S4Z57 2002","xii, 146 leaves ; 29 cm.","Theses (M.A.)"
"Zghidi","Samia","Index participation units and the performance of index futures markets and index options markets ","1997","http://clues.concordia.ca/search/c?SEARCH=HG 6041 Z48 1997","xi, 153 leaves : ill. ; 29 cm.","Theses (M.Sc.Admin.)"
"Zhai","Chao","Application of some hydraulic principles to flow measurement ","2003","http://clues.concordia.ca/search/c?SEARCH=TC 177 Z43 2003","xiv, 77 leaves : ill. ; 29 cm.","Theses (M.A.Sc.)"
"Zhai","Kun","The social and morphological construction of a retail landscape in Tianjin, China ","2010","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66G46M 2010 Z43","xii, 155 leaves : ill. ; 29 cm.","M. Sc."
"Zhan","Wu Mei","Accreditation units calculator : an internet application ","2003","http://clues.concordia.ca/search/c?SEARCH=QA 76 M26+ 2003 no.20","viii, 58 leaves : ill. ; 29 cm.","Major reports (M.Comp.Sc.)"
"Zhan","Guoshun","Power transients in fiber raman amplifiers with coherent pumping or incoherent pumping ","2005","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66E44M 2005 Z53","xi, 90 leaves : ill. ; 29 cm.","M.A. Sc."
"Zhang","Xilin","Modification of spiral bevel gears ","1989","http://clues.concordia.ca/search/c?SEARCH=TJ 193 Z48+ 1989","xviii, 102 leaves, 2 folded leaves of plates : ill. ; 29 cm.","Theses (M.Eng.)"
"Zhang","Li","Multilevel interface to database management system : MIDBMS ","1990","http://clues.concordia.ca/search/c?SEARCH=QA 76.9 D3Z48 1990","xii, 163 leaves ; 29 cm.","Theses (M.Comp.Sc.)"
"Zhang","Hao","Essays on stock market anomalies ","1991","http://clues.concordia.ca/search/c?SEARCH=HG 5160 T6Z49 1991","xiii, 157 leaves ; 29 cm.","Theses (Ph.D.)"
"Zhang","Ming","A study on associative memory classifier and its application in character recognition ","1992","http://clues.concordia.ca/search/c?SEARCH=Q 327 Z48 1992","xxiii, 212 leaves : ill. ; 29 cm.","Theses (Ph.D.)"
"Zhang","Xiu Tao","Two-dimensional numerical modeling of ice cover leading edge ","1992","http://clues.concordia.ca/search/c?SEARCH=GB 1398.6 Z49 1992","xvii, 114 leaves : ill. ; 29 cm.","Theses (M.A.Sc.)"
"Zhang","Jia","Leucine/Lrp regulon : regulation of serA gene by Lrp ","1994","http://clues.concordia.ca/search/c?SEARCH=QH 470 E8Z49 1994","xiii, 154 leaves : ill. ; 29 cm.","Theses (M.Sc.)"
"Zhang","Yaolin","A specification of the XTP service in LOTOS ","1994","http://clues.concordia.ca/search/c?SEARCH=TK 5105.5 Z49 1994","xi, 105 leaves : ill. ; 29 cm.","Theses (M.Comp.Sc.)"
"Zhang","Hui","Analysis and fabrication of grating assisted optical components ","1994","http://clues.concordia.ca/search/c?SEARCH=TK 5103.59 Z49 1994","ix, 118 leaves : ill. ; 29 cm.","Theses (M.A.Sc.)"
"Zhang","Siyu","Development of a hybrid knowledge-based system for condition monitoring and diagnosis of rotating machinery ","1995","http://clues.concordia.ca/search/c?SEARCH=TJ 177 Z48 1995","xxiii, 284 leaves : ill. ; 29 cm.","Theses (Ph.D.)"
"Zhang","Xuelin","An endogenous search model and its applications ","1996","http://clues.concordia.ca/search/c?SEARCH=HD 5701.6 Z48 1996","ix, 120 leaves : ill. ; 29 cm.","Theses (Ph.D.)"
"Zhang","Hai Bo","High frequency switching parallel processing topology for AC uninterruptible power supply ","1997","http://clues.concordia.ca/search/c?SEARCH=TK 7868 P6Z48 1997","xviii, 98 leaves  : ill. ; 29 cm.","Theses (M.A.Sc.)"
"Zhang","Bing","Using skip lists in the implementation of a hypertext tool for maintenance programmers ","1999","http://clues.concordia.ca/search/c?SEARCH=QA 76.76 S64Z492 1999","x, 86 leaves : ill. ; 29 cm.","Theses (M.Comp.Sc.)"
"Zhang","Qiang","University course registration and management system : a distributed application using Microsoft distributed component object model ","1999","http://clues.concordia.ca/search/c?SEARCH=QA 76 M26+ 1999 no.8","viii, 110 leaves : ill. ; 29 cm.","Theses (M.Comp.Sc.)"
"Zhang","Xiaomei","A performance analysis of wireless ATM multiplexing system ","2000","http://clues.concordia.ca/search/c?SEARCH=TK 5105.35 Z43 2000","xvii, 117 leaves ; 29 cm.","Theses (M.A.Sc.)"
"Zhang","Jing","A visual performance debugger for Concordia Parallel Programming Environment ","2000","http://clues.concordia.ca/search/c?SEARCH=QA 76.642 Z43 2000","xii, 180 leaves : ill. ; 29 cm.","Theses (M.Comp.Sc.)"
"Zhang","Lizhong","Implementing real-time reactive systems from object-oriented design specifications ","2000","http://clues.concordia.ca/search/c?SEARCH=QA 76.54 Z43 2000","x, 100 leaves : ill. ; 29 cm.","Theses (M.Comp.Sc.)"
"Zhang","Changjiang","Agent simulation using object-oriented methodology ","2000","http://clues.concordia.ca/search/c?SEARCH=QA 76 M26+ 2000 no.8","ix, 74 leaves ; 29 cm.","Major reports (M.Comp.Sc.)"
"Zhang","Xiong","Nonlinear finite element modeling and incremental analysis of a composite truck tire structure ","2001","http://clues.concordia.ca/search/c?SEARCH=TL 270 Z43 2001","xxiii, 253 leaves : ill. ; 29 cm.","Theses (Ph.D.)"
"Zhang","Chao","Random delamination of graphite/epoxy laminated composites : stress analysis, failure criteria, experimental characterization and stochastic modeling ","2001","http://clues.concordia.ca/search/c?SEARCH=TA 418.9 L3Z43 2001","xxi, 252 leaves : ill. ; 29 cm.","Theses (Ph.D.)"
"Zhang","Zhi Long","Temperature control strategies for radiant floor heating systems ","2001","http://clues.concordia.ca/search/c?SEARCH=TH 7535.5 Z43 2001","xvii, 105 leaves : ill. ; 29 cm.","Theses (M.A.Sc.)"
"Zhang","Yan","Carrier phase and frequency estimation for burst-mode communications ","2001","http://clues.concordia.ca/search/c?SEARCH=TK 5103.7 Z45 2001","xiv, 106 leaves : ill. ; 29 cm.","Theses (M.A.Sc.)"
"Zhang","Yiwei","Internet negotiation patterns and an appraisal of data mining from a managerial perspective : a case study approach ","2001","http://clues.concordia.ca/search/c?SEARCH=HD 58.6 Z46 2001","vii, 102 leaves : ill. ; 29 cm.","Theses (M.Sc.Admin.)"
"Zhang","Da Qing","Automatic code generation for real-time reactive systems in TROMLAB environment ","2001","http://clues.concordia.ca/search/c?SEARCH=QA 76.54 Z42 2001","ix, 85 leaves : ill. ; 29 cm.","Theses (M.Comp.Sc.)"
"Zhang","Li Qiang","Recognition of courtesy amounts on bank checks based on a segmentation approach ","2001","http://clues.concordia.ca/search/c?SEARCH=TA 1640 Z43 2001","ix, 61 leaves : ill. ; 29 cm.","Theses (M.Comp.Sc.)"
"Zhang","Zhongxi","Electronic correlations in quantum wires subjected to strong magnetic fields : dependence on the filling factor ","2002","http://clues.concordia.ca/search/c?SEARCH=QC 754.2 M3Z43 2002","xiv, 157 leaves : ill. ; 29 cm.","Theses (Ph.D.)"
"Zhang","Yuxing","Resonant spectrum method to characterize piezoelectric films in composite resonators ","2002","http://clues.concordia.ca/search/c?SEARCH=QC 595.5 Z43 2002","xii, 125 leaves : ill. ; 29 cm.","Theses (Ph.D.)"
"Zhang","Hui","Alternative code acquisition methods for WCDMA systems ","2002","http://clues.concordia.ca/search/c?SEARCH=TK 5103.452 Z43 2002","xi, 86 leaves : ill. ; 29 cm.","Theses (M.A.Sc.)"
"Zhang","Yuegang","Development of chip size monitoring system in deep-hole machining ","2002","http://clues.concordia.ca/search/c?SEARCH=TJ 1260 Z43 2002","x, 182 leaves : ill. ; 29 cm.","Theses (M.A.Sc.)"
"Zhang","Zhan","Porting the automatic semantic header generator to the web ","2002","http://clues.concordia.ca/search/c?SEARCH=QA 76 M26+ 2002 no.22","viii, 66 leaves : ill. ; 29 cm.","Major reports (M.Comp.Sc.)"
"Zhang","Daying","Progressive failure analysis of composite laminates using non-linear and stochastic FEA ","2002","http://clues.concordia.ca/search/c?SEARCH=TA 418.9 L3Z433 2002","viii, 151 leaves : ill. ; 29 cm.","Theses (M.A.Sc.)"
"Zhang","Wei Qi","Teaching assignment planner ","2002","http://clues.concordia.ca/search/c?SEARCH=QA 76 M26+ 2002 no.20","vi, 79 leaves : ill. ; 29 cm.","Major reports (M.Comp.Sc.)"
"Zhang","Jian","Weather resistive barriers in stucco cladding systems ","2003","http://clues.concordia.ca/search/c?SEARCH=TH 2238 Z43 2003","xx, 142 leaves : ill. ; 29 cm.","Theses (M.A.Sc.)"
"Zhang","Hui","Molecular cloning and characterization of the three genes coding for desulfoglucosinolate sulfotransferase in arabidopsis thaliana ","2003","http://clues.concordia.ca/search/c?SEARCH=QK 495 C9Z43 2003","xvi, 83 leaves : ill. (some col.) ; 29 cm.","Theses (M.Sc.)"
"Zhang","Zhengliang","Adaptive resource assignment along with overload control for the GSM/EGPRS networks ","2003","http://clues.concordia.ca/search/c?SEARCH=TK 5103.482 Z43 2003","xiv, 117 leaves : ill. ; 29 cm.","Theses (M.A.Sc.)"
"Zhang","Yuanbei","Development of water simulation system for ultrasonic detection of inclusions in molten metals ","2003","http://clues.concordia.ca/search/c?SEARCH=TA 463 Z43 2003","xiii, 106 leaves : ill. ; 29 cm.","Theses (M.A.Sc.)"
"Zhang","Yonggang","Automatic design pattern recovery ","2003","http://clues.concordia.ca/search/c?SEARCH=QA 76.76 S46Z43 2003","viii, 84 leaves : ill. ; 29 cm.","Theses (M.Comp.Sc.)"
"Zhang","Lin","On-line city weather forecast system ","2003","http://clues.concordia.ca/search/c?SEARCH=QA 76 M26+ 2003 no.19","viii, 67 leaves : ill. ; 29 cm.","Major reports (M.Comp.Sc.)"
"Zhang","Yan","Generic C++ implementations of pairwise sequence alignment : instantiation for global alignment ","2003","http://clues.concordia.ca/search/c?SEARCH=QA 76 M26+ 2003 no.25","viii, 58 leaves : ill. ; 29 cm.","Major reports (M.Comp.Sc.)"
"Zhang","Xiao Jun","Automatic generation of SDL specifications from timed MSCs ","2004","http://clues.concordia.ca/search/c?SEARCH=QA 76.73 S35Z43 2004","xvi, 221 p. : ill. ; 29 cm.","M.A. Sc."
"Zhang","Xuezhi","An advanced-Louver cooling scheme for gas turbines : adiabatec effectiveness and heat transfer performance ","2004","http://clues.concordia.ca/search/c?SEARCH=TJ 778 Z43 2004","xv, 141 leaves : ill. ; 29 cm.","M.A. Sc."
"Zhang","Chenghai","Computation and visualization of periodic orbits in the circular restricted three-body problem ","2004","http://clues.concordia.ca/search/c?SEARCH=QB 362 T5Z43 2004","xiv, 159 leaves : ill. (some col.) ; 29 cm.","M. Comp. Sc."
"Zhang","Zhuofei","A comparative study of DCOM/CORBA and .NET/J2EE ","2004","http://clues.concordia.ca/search/c?SEARCH=QA 76.9 A73Z43 2004","xiv, 140 leaves : ill. ; 29 cm.","M. Comp. Sc."
"Zhang","Bowei","High temperature sensors based on hydrogen loaded fiber Bragg gratings ","2004","http://clues.concordia.ca/search/c?SEARCH=TA 1800 Z43 2004","xiv, 116 leaves : ill. ; 29 cm.","M.A. Sc."
"Zhang","Ting","Performance of distributed fiber Raman amplifiers with incoherent pumps ","2004","http://clues.concordia.ca/search/c?SEARCH=TJ 901 Z43 2004","xii, 83 leaves : ill. ; 29 cm.","M.A. Sc."
"Zhang","Li","USB based controller interface board design for the Pendubot ","2004","http://clues.concordia.ca/search/c?SEARCH=TJ 211.3 Z43 2004","xii, 114 leaves : ill. ; 29 cm.","M.A. Sc."
"Zhang","Hai Ning","Simplification and refinement of point cloud models ","2004","http://clues.concordia.ca/search/c?SEARCH=T 385 Z43 2004","xi, 93 leaves : ill. ; 29 cm.","M. Comp. Sc."
"Zhang","Li","Multiplayer network game programming in MFC : a case study of video poker ","2004","http://clues.concordia.ca/search/c?SEARCH=QA 76 M26+ 2004 no.9","x, 109 leaves : ill. ; 29 cm.","M. Comp. Sc."
"Zhang","Yu","A tuple space based agent programming framework ","2004","http://clues.concordia.ca/search/c?SEARCH=QA 76.76 I58Z43 2004","x, 101 leaves : ill. ; 29 cm.","M. Comp. Sc."
"Zhang","Hong Bing","Virtual question answering system for CINDI ","2004","http://clues.concordia.ca/search/c?SEARCH=QA 76.9 Q4Z43 2004","viii, 88 leaves : ill. ; 29 cm.","M. Comp. Sc."
"Zhang","Lijun","Design and fabrication of new types of micro optical components ","2004","http://clues.concordia.ca/search/c?SEARCH=TK 5103.59 Z43 2004","viii, 79 leaves : ill. ; 29 cm.","M.A. Sc."
"Zhang","Xiaobing","A framework for object-relational mapping with an example in C++ ","2004","http://clues.concordia.ca/search/c?SEARCH=QA 76.9 O35Z43 2004","viii, 76 leaves : ill. ; 29 cm.","M. Comp. Sc."
"Zhang","Rui","A new three-parameter lifetime distribution with bathtub shape or increasing failure rate function and a flood data application ","2004","http://clues.concordia.ca/search/c?SEARCH=QA 276.18 Z43 2004","viii, 55 leaves ; 29 cm.","M. Sc."
"Zhang","Jian","Edge detection in a pixel array circuit ","2004","http://clues.concordia.ca/search/c?SEARCH=TA 1637 Z43 2004","ix, 80 leaves : ill. ; 29 cm.","M.A. Sc."
"Zhang","Yunzan","New tree-based algorithms for network spare capacity design ","2004","http://clues.concordia.ca/search/c?SEARCH=TK 5102.7 Z43 2003","ix, 73 leaves : ill. ; 29 cm.","M. Comp. Sc."
"Zhang","Tong","A gleaning subsystem for CINDI ","2004","http://clues.concordia.ca/search/c?SEARCH=TK 5105.884 Z438 2004","ix, 109 leaves : ill. ; 29 cm.","M. Comp. Sc."
"Zhang","Beihua","An image system for CINDI ","2004","http://clues.concordia.ca/search/c?SEARCH=TK 5105.884 Z43 2004","78 leaves : ill. (some col.) ; 29 cm.","M. Comp. Sc."
"Zhang","Xiaojun","Wavelet domain image restoration using adaptively regularized constrained total least squares ","2005","http://clues.concordia.ca/search/c?SEARCH=TA 1637 Z439 2005","xviii, 90 leaves : ill. ; 29 cm.","M.A. Sc."
"Zhang","Huainan","Biodynamic response and body interactions with the seat pan and the back rest under vertical vibration ","2005","http://clues.concordia.ca/search/c?SEARCH=TL 246 Z43 2005","xviii, 150 leaves : ill. ; 29 cm.","M.A. Sc."
"Zhang","Zhong-Hong","Measurement of diffusion and partition coefficients of VOCs in dry building materials ","2005","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66B85M 2005 Z43 ","xiv, 106 leaves : ill. ; 29 cm.","M.A. Sc."
"Zhang","Jian","A model for collector-storage wall with and without phase change material ","2005","http://clues.concordia.ca/search/c?SEARCH=TJ 812.7 Z43 2005","xiv, 106 leaves : ill. ; 29 cm.","M.A. Sc."
"Zhang","Yanxia","Stability investigation at resonance of surface micromachined comb drive for application as a power source ","2005","http://clues.concordia.ca/search/c?SEARCH=TK 7867 Z436 2005","xii, 91 leaves : ill. (some col.) ; 29 cm.","M.A. Sc."
"Zhang","Qinghui","Mumford-Shah model and its application in image processing ","2005","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66C67M 2005 Z45","xii, 82 leaves ; ill. ; 29 cm.","M. Comp. Sc."
"Zhang","Rongxin","Concatenated coding and space-time modulation : transmitter and receiver design ","2005","http://clues.concordia.ca/search/c?SEARCH=TK 6562 F2Z43 2005","xii, 73 leaves : ill. ; 29 cm.","M.A. Sc."
